bundle,type,place,date
com.memrise.android.memrisecompanion,education|apps_topgrossing,9,2020-12-07 07:23:30.62079
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-07 07:23:32.22102
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-07 07:23:33.107404
com.busuu.android.enc,education|apps_topselling_free,77,2020-12-07 07:26:24.454752
com.busuu.android.enc,education|apps_topgrossing,8,2020-12-07 07:26:28.437387
com.busuu.android.enc,education|apps_movers_shakers,0,2020-12-07 07:26:29.92821
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-07 07:26:30.890658
com.duolingo,education|apps_topselling_free,9,2020-12-07 07:35:44.419424
com.duolingo,education|apps_topgrossing,4,2020-12-07 07:35:48.373293
com.duolingo,education|apps_movers_shakers,0,2020-12-07 07:35:50.007327
com.duolingo,education|apps_topselling_paid,0,2020-12-07 07:35:50.952008
com.memrise.android.memrisecompanion,education|apps_topselling_free,244,2020-12-08 07:26:05.173406
com.memrise.android.memrisecompanion,education|apps_topgrossing,10,2020-12-08 07:26:08.7425
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-08 07:26:10.029365
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-08 07:26:11.18937
com.busuu.android.enc,education|apps_topselling_free,75,2020-12-08 07:29:05.423245
com.busuu.android.enc,education|apps_topgrossing,8,2020-12-08 07:29:12.399503
com.busuu.android.enc,education|apps_movers_shakers,0,2020-12-08 07:29:13.522354
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-08 07:29:14.520695
com.duolingo,education|apps_topselling_free,9,2020-12-08 07:38:30.515898
com.duolingo,education|apps_topgrossing,3,2020-12-08 07:38:33.956124
com.duolingo,education|apps_movers_shakers,0,2020-12-08 07:38:35.110601
com.duolingo,education|apps_topselling_paid,0,2020-12-08 07:38:36.12727
